,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
zusammenzukommen,3.0881295805910374,-0.19041407300346422,0.6262597465148698,-0.2825465366574764,-0.2087800090066557,0.0,0.02869280421090893,-0.2693219215750569,-0.14927183941051045,zusammenzukommen
austausch zusammenkomm,3.0881295805910374,-0.19041407300346422,0.6262597465148698,-0.2825465366574764,-0.2087800090066557,0.0,0.02869280421090893,-0.2693219215750569,-0.14927183941051045,austausch zusammenkomm
Vorfeld,2.951845012217938,-0.0393008521846292,0.34313675521374376,-0.23741134547243622,-0.16364481782161558,0.0,0.06771364406405887,-0.22418673039001671,-0.10413664822547031,Vorfeld
vorfeld scholz,3.28791784095029,0.14609591033759867,0.13895157144490095,-0.3452354320849291,-0.27146890443410826,0.0,-0.04398634885316962,-0.3320108170025097,-0.2119607348379632,vorfeld scholz
berei…,2.9719593046501362,0.036694461008743,0.2075184279095453,-0.24420237659330413,-0.17043584894248318,0.0,0.055164846022169145,-0.23097776151088445,-0.11092767934633813,berei…
scholz berei…,2.9719593046501362,0.036694461008743,0.2075184279095453,-0.24420237659330413,-0.17043584894248318,0.0,0.055164846022169145,-0.23097776151088445,-0.11092767934633813,scholz berei…
+754,2.8440921772350136,-0.010452491011350372,0.22153443944165208,-0.20022486528790956,-0.1264583376370888,0.0,0.09703537983400637,-0.18700025020549016,-0.06695016804094375,+754
berei… +754,2.8440921772350136,-0.010452491011350372,0.22153443944165208,-0.20022486528790956,-0.1264583376370888,0.0,0.09703537983400637,-0.18700025020549016,-0.06695016804094375,berei… +754
+754 chars,2.7958117702296845,-0.027711054389344254,0.22274747378234094,-0.18310344376316226,-0.10933691611234166,0.0,0.1128628925484094,-0.16987882868074292,-0.04982874651619645,+754 chars
treff außenminister,2.6251779294478865,0.0618661476855677,0.10635257482705507,-0.12012961914198284,-0.046363091491162134,0.0,-0.13828334448824164,-0.10690500405956348,0.013145078104982846,treff außenminister
Kreuz,3.230231183954568,0.05144449509070644,0.47799360582807904,-0.3275346514017341,-0.25376812375091345,0.0,-0.34568837674799296,-0.3143100363193148,-0.19425995415476838,Kreuz
außenminister kreuz,2.5447198318216833,0.016309628843467802,0.1466513619463367,-0.08900150096311052,-0.015234973312289759,0.0,-0.10715522630936924,-0.0757768858806912,0.044273196283855384,außenminister kreuz
Rathaus,2.518901287246393,-0.0007652576109847636,0.16284466533247483,-0.07880375207322438,-0.005037224422403661,0.0,-0.09695747741948318,-0.06557913699080496,0.05447094517374162,Rathaus
kreuz rathaus,2.518901287246393,-0.0007652576109847636,0.16284466533247483,-0.07880375207322438,-0.005037224422403661,0.0,-0.09695747741948318,-0.06557913699080496,0.05447094517374162,kreuz rathaus
rathaus münster,2.4960237823097042,-0.018000360827917377,0.18063245653478957,-0.06967992137946231,0.004086606271358628,0.0,-0.08783364672572107,-0.05645530629704281,0.06359477586750373,rathaus münster
